t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
2500	50	1	7	7	7	0.8148	-0.0066	1.0000	0.6154	0.7619	0.8569	0.0316	0.5121682569279322	0.09051937272746585
2500	50	2	7	777	9	0.7778	-0.0437	1.0000	0.5385	0.7000	0.8255	0.0001	0.9685682380124734	0.30263157278180386
2500	50	3	7	7	5	0.7407	-0.0807	1.0000	0.4615	0.6316	0.7927	-0.0326	0.9999998762929069	0.9999999999850622
2500	50	4	2	7	15	0.7500	-0.0714	0.8182	0.6429	0.7200	0.7567	-0.0687	0.8693264274881177	0.11018686771713455
3000	20	0	7	777	12	0.8148	0	0.7857	0.8462	0.8148	0.8065	0	0.0	0.0
3000	20	1	7	144000	5	0.7778	-0.0370	0.8889	0.6154	0.7273	0.7908	-0.0158	0.9313555024059947	0.9065357938757589
3000	20	2	0	777	11	0.7857	-0.0291	1.0000	0.5714	0.7273	0.8383	0.0318	1.0240213070555035e-08	5.646394028958011e-05
3000	20	3	7	7	4	0.8519	0.0370	1.0000	0.6923	0.8182	0.8873	0.0808	0.013270970965532085	0.022409215293723406
3000	20	4	3	777	13	0.8214	0.0066	0.8000	0.8571	0.8276	0.8191	0.0126	1.7520254121091122e-06	2.471276545936522e-11
3000	30	0	8	777	7	0.8148	0	0.8333	0.7692	0.8000	0.8120	0	0.0	0.0
3000	30	1	2	144000	7	0.7857	-0.0291	0.8333	0.7143	0.7692	0.7919	-0.0201	0.3613856283300834	0.4706555573941123
3000	30	2	2	144000	13	0.7500	-0.0648	0.6842	0.9286	0.7879	0.7604	-0.0516	0.5810668610035189	6.654406631458566e-06
3000	30	3	2	144000	12	0.7143	-0.1005	1.0000	0.4286	0.6000	0.7771	-0.0349	0.02489548928469647	0.3425216898010244
3000	30	4	6	144000	10	0.7407	-0.0741	0.7692	0.7143	0.7407	0.7497	-0.0623	0.9995340984864653	0.9887950050449154
3000	40	0	0	144000	12	0.7143	0	1.0000	0.4286	0.6000	0.7771	0	0.0	0.0
3000	40	1	2	7	12	0.7500	0.0357	0.8889	0.5714	0.6957	0.7729	-0.0043	0.7648090391499136	0.978831968858911
3000	40	2	5	7	19	0.8148	0.1005	0.8462	0.7857	0.8148	0.8247	0.0475	0.02635029531676303	0.32364206877444635
3000	40	3	7	777	2	0.7407	0.0265	1.0000	0.4615	0.6316	0.7927	0.0156	0.024157951760476883	0.3824188742315736
3000	40	4	9	144000	17	0.7778	0.0635	0.7059	0.9231	0.8000	0.7753	-0.0018	0.03520173827305412	2.1858786598806794e-05
3000	50	0	2	7	13	0.7857	0	0.8333	0.7143	0.7692	0.7919	0	0.0	0.0
3000	50	1	8	7	7	0.7778	-0.0079	0.8889	0.6154	0.7273	0.7908	-0.0012	0.9999640279743834	0.99996399805542
3000	50	2	0	777	13	0.8214	0.0357	0.8000	0.8571	0.8276	0.8191	0.0271	0.999991463308724	0.7634227407305382
3000	50	3	2	144000	9	0.8214	0.0357	1.0000	0.6429	0.7826	0.8672	0.0753	0.009536777655385844	4.013286172034456e-06
3000	50	4	2	7	2	0.7500	-0.0357	0.8889	0.5714	0.6957	0.7729	-0.0191	0.9128288322260908	0.748273079587339
3500	20	0	0	7	8	0.8214	0	0.9091	0.7143	0.8000	0.8395	0	0.0	0.0
3500	20	1	2	777	15	0.7500	-0.0714	1.0000	0.5000	0.6667	0.8083	-0.0312	0.9999999999747687	0.9999999999999956
3500	20	2	7	7	4	0.8519	0.0304	0.9091	0.7692	0.8333	0.8602	0.0207	0.928360754231332	0.6403524258679654
3500	20	3	2	777	17	0.7857	-0.0357	1.0000	0.5714	0.7273	0.8383	-0.0012	0.9992158319697564	0.998424390128448
3500	20	4	1	777	17	0.8214	0.0000	0.8462	0.7857	0.8148	0.8253	-0.0142	0.8720202725659154	0.987655187115011
3500	30	0	0	7	11	0.7500	0	1.0000	0.5000	0.6667	0.8083	0	0.0	0.0
3500	30	1	2	144000	17	0.7857	0.0357	1.0000	0.5714	0.7273	0.8383	0.0300	0.9999996887425041	0.9999999523978426
3500	30	2	7	7	6	0.8519	0.1019	0.8462	0.8462	0.8462	0.8467	0.0384	0.9995548145285609	0.9820457634948833
3500	30	3	2	144000	11	0.8214	0.0714	0.7368	1.0000	0.8485	0.8203	0.0119	0.6777606061390681	0.8889996573489856
3500	30	4	1	777	13	0.7500	0.0000	0.8889	0.5714	0.6957	0.7729	-0.0355	0.8815421634770638	0.8016084788628088
3500	40	0	7	777	7	0.8148	0	1.0000	0.6154	0.7619	0.8569	0	0.0	0.0
3500	40	1	2	777	13	0.8571	0.0423	0.8125	0.9286	0.8667	0.8510	-0.0059	0.05220806468811437	0.02801804922658526
3500	40	2	7	7	6	0.7778	-0.0370	1.0000	0.5385	0.7000	0.8255	-0.0315	0.17859834675862094	0.3585535941724718
3500	40	3	7	7	10	0.8519	0.0370	0.8000	0.9231	0.8571	0.8412	-0.0157	0.17230411446038052	0.999847973194129
3500	40	4	2	777	10	0.7500	-0.0648	1.0000	0.5000	0.6667	0.8083	-0.0486	0.00013579068388742344	0.00765183608239867
3500	50	0	1	777	10	0.7857	0	0.7222	0.9286	0.8125	0.7879	0	0.0	0.0
3500	50	1	2	7	19	0.7857	0.0000	1.0000	0.5714	0.7273	0.8383	0.0504	0.9999288196702962	0.9999873681235832
3500	50	2	0	7	13	0.7500	-0.0357	0.6667	1.0000	0.8000	0.7683	-0.0196	0.9836000404904769	0.643254868269877
3500	50	3	2	144000	10	0.8571	0.0714	0.7778	1.0000	0.8750	0.8496	0.0617	0.16949261649649397	0.7994351099225218
3500	50	4	2	144000	13	0.7857	0.0000	1.0000	0.5714	0.7273	0.8383	0.0504	0.9999999395962739	0.9966018473610199
4000	20	0	7	7	3	0.8148	0	0.9000	0.6923	0.7826	0.8265	0	0.0	0.0
4000	20	1	2	144000	12	0.7857	-0.0291	0.9000	0.6429	0.7500	0.8071	-0.0193	0.9999999973615143	0.9999999997539305
