t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
3500	30	4	0	144000	6	0.7857	0.0357	0.7857	0.7857	0.7857	0.7857	-0.0226	0.6377169241801677	0.2632759803155539
3500	40	0	7	777	7	0.8148	0	1.0000	0.6154	0.7619	0.8569	0	0.0	0.0
3500	40	1	2	144000	18	0.7857	-0.0291	0.8333	0.7143	0.7692	0.7919	-0.0650	0.00010175105358856564	0.0019607904333922184
3500	40	2	2	144000	19	0.8214	0.0066	0.8462	0.7857	0.8148	0.8253	-0.0316	0.8477346018213235	0.8666586775690287
3500	40	3	7	7	8	0.8148	0.0000	0.9000	0.6923	0.7826	0.8265	-0.0305	0.907672360383413	0.9997888207330913
3500	40	4	2	777	11	0.7500	-0.0648	1.0000	0.5000	0.6667	0.8083	-0.0486	0.023017281694736245	0.036993587750214725
3500	50	0	1	777	10	0.7857	0	0.7222	0.9286	0.8125	0.7879	0	0.0	0.0
3500	50	1	2	144000	7	0.7857	0.0000	1.0000	0.5714	0.7273	0.8383	0.0504	0.9942403457530411	0.9997134808875558
3500	50	2	2	7	9	0.8214	0.0357	0.7647	0.9286	0.8387	0.8180	0.0301	0.4883064210077692	0.11820332431721071
3500	50	3	0	777	10	0.8571	0.0714	0.8571	0.8571	0.8571	0.8571	0.0692	0.04310709207372894	0.2869829798059642
3500	50	4	2	144000	18	0.8571	0.0714	0.8571	0.8571	0.8571	0.8571	0.0692	0.9978797376577206	0.8660560356038668
4000	20	0	7	7	3	0.8148	0	0.9000	0.6923	0.7826	0.8265	0	0.0	0.0
4000	20	1	2	144000	11	0.7857	-0.0291	1.0000	0.5714	0.7273	0.8383	0.0118	0.9999999999999997	0.9999999999999999
4000	20	2	0	7	17	0.8214	0.0066	0.9091	0.7143	0.8000	0.8395	0.0131	0.9717847329686788	0.4890407909405882
4000	20	3	0	7	8	0.7500	-0.0648	1.0000	0.5000	0.6667	0.8083	-0.0181	0.8847726529335934	0.7803128817459862
4000	20	4	5	144000	11	0.7778	-0.0370	1.0000	0.5714	0.7273	0.8375	0.0111	0.023590798463272094	0.00036308735827102683
4000	30	0	9	777	17	0.7778	0	0.8889	0.6154	0.7273	0.7908	0	0.0	0.0
4000	30	1	7	7	3	0.7778	0.0000	0.8182	0.6923	0.7500	0.7753	-0.0154	1.0	0.9999999999999999
4000	30	2	8	7	6	0.8148	0.0370	0.9000	0.6923	0.7826	0.8265	0.0357	0.9394992811967058	0.9992128809109488
4000	30	3	2	144000	7	0.7500	-0.0278	0.8182	0.6429	0.7200	0.7567	-0.0341	0.9921253804730666	0.8753734100636076
4000	30	4	6	7	17	0.7407	-0.0370	1.0000	0.5000	0.6667	0.8074	0.0167	0.9999999828462202	1.0
4000	40	0	8	7	9	0.7778	0	0.8889	0.6154	0.7273	0.7908	0	0.0	0.0
4000	40	1	2	144000	15	0.7857	0.0079	1.0000	0.5714	0.7273	0.8383	0.0476	0.5514090456522245	0.05058822249407087
4000	40	2	0	144000	11	0.7143	-0.0635	1.0000	0.4286	0.6000	0.7771	-0.0136	0.0061340302045805855	2.9664705321654402e-09
4000	40	3	2	777	12	0.7500	-0.0278	0.7059	0.8571	0.7742	0.7542	-0.0365	0.16300794980109057	0.0016868238575363443
4000	40	4	1	144000	15	0.7857	0.0079	0.8333	0.7143	0.7692	0.7919	0.0012	0.004058074711608521	0.017972286305874885
4000	50	0	6	7	11	0.6667	0	1.0000	0.3571	0.5263	0.7434	0	0.0	0.0
4000	50	1	2	7	4	0.7143	0.0476	1.0000	0.4286	0.6000	0.7771	0.0338	0.9914380659922433	0.9932746850003469
4000	50	2	2	144000	7	0.8571	0.1905	0.8125	0.9286	0.8667	0.8510	0.1077	0.03671811419593369	2.283117824073137e-06
4000	50	3	3	777	10	0.7500	0.0833	0.7692	0.7143	0.7407	0.7506	0.0073	0.6404368665593878	0.6854310249473448
4000	50	4	2	144000	11	0.8571	0.1905	0.9167	0.7857	0.8462	0.8704	0.1271	0.2737517268760586	1.07996625616565e-06
4500	20	0	6	7	18	0.8519	0	0.8571	0.8571	0.8571	0.8566	0	0.0	0.0
4500	20	1	6	777	7	0.8148	-0.0370	0.8462	0.7857	0.8148	0.8247	-0.0319	0.9999999999999999	1.0
4500	20	2	2	777	15	0.8571	0.0053	0.8125	0.9286	0.8667	0.8510	-0.0056	0.9999990637088648	0.9999945470248832
4500	20	3	7	7	4	0.8148	-0.0370	0.9000	0.6923	0.7826	0.8265	-0.0301	0.9999999999996224	0.9999999998057195
4500	20	4	2	144000	19	0.7500	-0.1019	1.0000	0.5000	0.6667	0.8083	-0.0483	0.9999626892136259	0.9093030350262864
4500	30	0	2	144000	13	0.7857	0	1.0000	0.5714	0.7273	0.8383	0	0.0	0.0
4500	30	1	7	7	7	0.8519	0.0661	0.8462	0.8462	0.8462	0.8467	0.0084	0.9999970330410833	0.5007119677416155
